ProblemType,Problem,Solution
Integration,"For any positive integer \( n \) show that
\[
\int_0^1 |f(x)|^n |f'(x)| \, dx \leq \frac{1}{n+1} \int_0^1 |f'(x)|^{n+1} \, dx
\]
holds for any \( f \in C^1[0, 1] \) satisfying \( f(0) = 0 \). Verify that the equality holds if and only if \( f(x) \) is a linear function.","We introduce the auxiliary function
\[
\phi(x) = \frac{x^n}{n+1} \int_0^x \lvert f'(s) \rvert^{n+1} \, ds - \int_0^x \lvert f(s) \rvert^n \lvert f'(s) \rvert \, ds.
\]
Obviously $\phi(0) = 0$ and
\[
\phi'(x) = \frac{nx^{n-1}}{n+1} \int_0^x \lvert f'(s) \rvert^{n+1} \, ds + \frac{x^n}{n+1} \lvert f'(x) \rvert^{n+1} - \lvert f(x) \rvert^n \lvert f'(x) \rvert.
\]
Applying Hölder's inequality to $1$ and $\lvert f'(x) \rvert$, we get
\[
\lvert f(x) \rvert = \int_0^x \lvert f'(s) \rvert \, ds \leq \left( \int_0^x 1 \cdot \lvert f'(s) \rvert^{n+1} \, ds \right)^{1/(n+1)} \cdot \left( \int_0^x 1 \, ds \right)^{n/(n+1)},
\]
or
\[
\lvert f(x) \rvert \leq x^{n/(n+1)} \left( \int_0^x \lvert f'(s) \rvert^{n+1} \, ds \right)^{1/(n+1)},
\]
or
\[
\int_0^x \lvert f'(s) \rvert^{n+1} \, ds \geq \frac{\lvert f(x) \rvert^{n+1}}{x^n}.
\]
Hence
\[
\phi'(x) \geq \frac{n}{n+1} \cdot \frac{\lvert f(x) \rvert^{n+1}}{x} + \frac{x^n}{n+1} \lvert f'(x) \rvert^{n+1} - \lvert f(x) \rvert^n \lvert f'(x) \rvert.
\]
The right-hand side multiplied by $(n+1)x$ is expressed as
\[
\sigma(\lvert f(x) \rvert, x \lvert f'(x) \rvert),
\]
where
\[
\sigma(a, b) = na^{n+1} + b^{n+1} - (n+1)a^n b.
\]
Since $\sigma(a, 0) \geq 0$, we can assume $b > 0$. Put $t = a/b \geq 0$ for brevity. Then
\[
\frac{\sigma(a, b)}{b^{n+1}} = nt^{n+1} + 1 - (n+1)t^n
\]
attains its minimum $0$ at $t = 1$, which implies that $\phi(x)$ is monotone increasing. In particular we have $\phi(1) \geq 0$, as required.

The equality occurs in Hölder's inequality if and only if $f(x)$ is linear. In this case the equality actually occurs in the inequality in question."
Integration,"Suppose that both \( f(x) \) and \( g(x) \) are monotone increasing continuous functions defined on \([0, 1]\). Show that
\[
\int_0^1 f(x) \, dx \int_0^1 g(x) \, dx \leq \int_0^1 f(x) g(x) \, dx.
\]","It suffices to show that
\[
\int_0^1 f(x) \phi(x) \, dx \geq 0
\]
where
\[
\phi(x) = g(x) - \int_0^1 g(t) \, dt.
\]
By the mean value theorem there is a $\xi \in (0, 1)$ satisfying
\[
g(\xi) = \int_0^1 g(x) \, dx.
\]
Since $\phi(x) \leq 0$ for $0 \leq x \leq \xi$ and $\phi(x) \geq 0$ for $\xi \leq x \leq 1$, we have
\[
\int_0^1 f(x) \phi(x) \, dx = \int_0^\xi f(x) \phi(x) \, dx + \int_\xi^1 f(x) \phi(x) \, dx
\]
\[
\geq f(\xi) \int_0^\xi \phi(x) \, dx + f(\xi) \int_\xi^1 \phi(x) \, dx
\]
\[
= f(\xi) \int_0^1 \phi(x) \, dx = 0.
\]"
Integration,"Show that the minimum of the integral
\[
\int_0^1 \left| x^n + a_1 x^{n-1} + \cdots + a_n \right| dx
\]
as \( a_1, a_2, \ldots, a_n \) range over all real numbers, is equal to \( 4^{-n} \).","For a given polynomial
\[
A(x) = x^n + a_1 x^{n-1} + \cdots + a_n
\]
we define
\[
B(x) = A\left(\frac{x+2}{4}\right),
\]
so that
\[
B(x) = \frac{x^n}{4^n} + a_1' x^{n-1} + \cdots + a_n'
\]
with some real numbers $a_1', \ldots, a_n'$. Putting further
\[
Q(x) = \int_0^x B(s) \, ds
\]
we obtain
\[
Q(x) = \frac{x^{n+1}}{4^n (n+1)} + a_1'' x^n + \cdots + a_n'' x
\]
with some real numbers $a_1'', \ldots, a_n''$. Applying the same method as in the proof of \textbf{Problem 3.2} to $Q(x)$ with the same notations, we get
\[
\frac{4(n+1)}{4^n (n+1)} \sum_{k=0}^{n+1} (-1)^k Q(\alpha_k) \leq \sum_{k=0}^n |Q(\alpha_k) - Q(\alpha_{k+1})| \tag{5.6}
\]
where
\[
\alpha_k = 2 \cos \frac{k \pi}{n+1}.
\]
Therefore, by using (5.4) and (5.5) in (5.6),
\[
\frac{1}{4^{n-1}} \leq \sum_{k=0}^n \int_{\alpha_{k+1}}^{\alpha_k} |B(s)| \, ds = \int_{-2}^2 |B(s)| \, ds = 4 \int_0^1 |A(x)| \, dx.
\]"
Integration,"For any \( f \in C^1[0, 1] \) show that
\[
\sum_{k=1}^n f\left(\frac{k}{n}\right) - n \int_0^1 f(x) \, dx
\]
converges to
\[
\frac{f(1) - f(0)}{2}
\]
as \( n \to \infty \).","We have
\[
\sum_{k=1}^n f\left(\frac{k}{n}\right) - n \int_0^1 f(x) \, dx = n \sum_{k=1}^n \int_{(k-1)/n}^{k/n} \left( f\left(\frac{k}{n}\right) - f(x) \right) dx.
\]
By the mean value theorem there is a $\xi_{k,x}$ in each open interval $((k-1)/n, k/n)$ satisfying
\[
f\left(\frac{k}{n}\right) - f(x) = f'(\xi_{k,x})\left(\frac{k}{n} - x\right).
\]
Since $f'(x)$ is uniformly continuous on $[0, 1]$, we have for any $\epsilon > 0$
\[
\left| f'(\xi_{k,x}) - f'\left(\frac{k}{n}\right) \right| < \epsilon
\]
for all $1 \leq k \leq n$ and for all $x$ in the interval $[(k-1)/n, k/n)$ on taking $n$ sufficiently large. Hence
\[
\left| S_n - \frac{1}{2n} \sum_{k=1}^n f'\left(\frac{k}{n}\right) \right| < \frac{\epsilon}{2}
\]
where $S_n$ is the expression in the problem. Since $\epsilon$ is arbitrary, we get
\[
\lim_{n \to \infty} S_n = \frac{1}{2} \int_0^1 f'(x) \, dx = \frac{f(1) - f(0)}{2}.
\]"
Integration,"Put \( \phi(x) = 1 / \sqrt{1 + |x|} \) and \( \alpha_{j,n} = (j - 1/2)3^{-n} \) for \( 1 \leq j \leq 3^n, n \geq 0 \).

Show that there exist \( \{c_{j,n}\}_{1 \leq j \leq 3^n, n \geq 0} \subset (0, 1) \) and \( \{\lambda_n\} \) with \( \lambda_n > 3^{5n+1} \) such that
\[
\max_{0 \leq x \leq 1} \sum_{k=0}^n \psi_k(x) < 1 - \frac{1}{n+2}
]\]
and
\[
\sum_{k=0}^n \psi_k(\alpha_{j,n}) > 1 - \frac{1}{n+1} 
\]
for any \( 1 \leq j \leq 3^n \) and \( n \geq 0 \), where
\[
\psi_k(x) = \sum_{j=1}^{3^k} c_{j,k} \phi(\lambda_k(x - \alpha_{j,k})).
\]","We show this by induction on \( n \). When \( n = 0 \), (5.1) and (5.2) clearly hold for any \( c_{1,0} \in (0, 1/2) \) and \( \lambda_0 > 3^0 = 1 \).

We next suppose that (5.1) holds for \( n = m - 1 \); that is,
\[
\max_{0 \leq x \leq 1} \sum_{k=0}^{m-1} \psi_k(x) < 1 - \frac{1}{m+1}.
\]
Then we can take a constant \( c_{\ell,m} \) in the interval \( (0, 1) \) satisfying
\[
1 - \frac{1}{m+1} < c_{\ell,m} + \sum_{k=0}^{m-1} \psi_k(\alpha_{\ell,m}) < 1 - \frac{1}{m+2} \tag{5.7}
\]
for each \( 1 \leq \ell \leq 3^m \) and with \( c_{\ell,m} \)'s we define
\[
\psi(x, \lambda) = \sum_{\ell=1}^{3^m} c_{\ell,m} \phi\left(\lambda \left(x - \alpha_{\ell,m}\right)\right).
\]
Since
\[
\lim_{\lambda \to \infty} \psi(x, \lambda) = 
\begin{cases} 
c_{\ell,m}, & \text{if } x = \alpha_{\ell,m}, \\
0, & \text{otherwise},
\end{cases}
\]
we can take a sufficiently large \( \lambda_m > 3^{5m+1} \) such that \( \psi(\alpha_{\ell,m}, \lambda_m) = \psi_k(\alpha_{\ell,m}) \) is sufficiently close to \( c_{\ell,m} \) for all \( 1 \leq \ell \leq 3^m \). Substituting this in (5.7), we conclude that
\[
1 - \frac{1}{m+1} < \sum_{k=0}^{m-1} \psi_k(\alpha_{\ell,m}) < 1 - \frac{1}{m+2}.
\]
This shows that (5.1) and (5.2) hold for \( n = m \).

By the property (a), we see that the partial sums of
\[
\Phi(x) = \sum_{n=0}^\infty \psi_n(x)
\]
form a monotone increasing sequence, and so the series converges pointwise. Moreover, \( 0 < \Phi(x) \leq 1 \) for any \( x \in [0, 1] \) and \( \Phi(x) = 1 \) for any \( x \in A \), where
\[
A = \{\alpha_{\ell,m} ; 1 \leq \ell \leq 3^m, m \geq 0\}
\]
is a dense subset of the interval \( [0,1] \).

To see that \( \Phi(x) \) is not constant on any subinterval of \( [0,1] \), we put \( \beta_{k,n} = k3^{-n} \) for \( 0 \leq k \leq 3^n \) and
\[
B = \{\beta_{k,n} ; 0 \leq k \leq 3^n, n \geq 0\}.
\]
\( B \) is also a dense subset of \( [0,1] \) satisfying \( A \cap B = \emptyset \). Since
\[
\left| \alpha_{j,m} - \beta_{k,n} \right| = \left| \frac{2j - 1}{2 \cdot 3^m} - \frac{k}{3^n} \right| \geq \frac{1}{2 \cdot 3^m},
\]
for any integers \( j, k, m, n \), we have
\[
\psi_m(\beta_{k,n}) = \sum_{j=1}^{3^m} c_{j,m} \phi\left(\lambda_m \left(\beta_{k,n} - \alpha_{j,m}\right)\right) < 3^m \sqrt{\frac{2 \cdot 3^m}{\lambda_m}} < \frac{1}{3^m}.
\]
Therefore,
\[
\Phi(\beta_{k,n}) = \sum_{m=0}^{n-1} \psi_m(\beta_{k,n}) + \sum_{m=n}^\infty \psi_m(\beta_{k,n})
< 1 - \frac{1}{n+1} + \sum_{m=n}^\infty \frac{1}{3^m},
\]
which is less than 1 for \( n \) large enough. We thus have \( \Phi(x) < 1 \) for any \( x \in B \).
"
Integration,"Put \( \phi(x) = 1 / \sqrt{1 + |x|} \) and \( \alpha_{j,n} = (j - 1/2)3^{-n} \) for \( 1 \leq j \leq 3^n, n \geq 0 \).
Show that
\[
\Psi(x) = \sum_{n=0}^\infty \int_0^x \psi_n(t) \, dt
\]
is differentiable and satisfies \( \Psi'(x) = \sum_{n=0}^\infty \psi_n(x) \) for any \( x \in (0, 1) \).","Let \( V \) be the set of all positive continuous functions \( f \) defined on \( \mathbb{R} \) satisfying \( \sigma_{a,b}(f) < 4 \min\{f(a), f(b)\} \) for any \( a \neq b \), where
\[
\sigma_{a,b}(f) = \frac{1}{b-a} \int_a^b f(x) \, dx.
\]

We first show that \( \phi \in V \). Since \( \phi \) is an even function, it suffices to consider only two cases: \( 0 \leq a < b \) and \( a < 0 < b \). If \( 0 \leq a < b \), then
\[
\sigma_{a,b}(\phi) = \frac{2}{\sqrt{1+a} + \sqrt{1+b}} < 2 \phi(b).
\]
If \( a < 0 < b \), then
\[
\sigma_{a,b}(\phi) = \frac{2}{|a| + b} \left( \sqrt{1+|a|} + \sqrt{1+b} - 2 \right),
\]
which is less than
\[
\frac{4}{c} \left( \sqrt{1+c} - 1 \right) = \frac{4}{\sqrt{1+c} + 1} < 4 \phi(c),
\]
where \( c = \max\{|a|, b\} \), as required.

Note that \( V \) forms a positive cone; that is, if \( f_1 \) and \( f_2 \) belong to \( V \), then \( c_1 f_1 + c_2 f_2 \) also belongs to \( V \) for any positive constants \( c_1 \) and \( c_2 \). Moreover, for any \( f \in V \) and \( \lambda > 0 \), the function \( \tilde{f} \) defined by \( \tilde{f}(x) = f(\lambda x) \) belongs to \( V \) in view of
\[
\sigma_{a,b}(\tilde{f}) = \sigma_{\lambda a, \lambda b}(f) < 4 \min\{f(\lambda a), f(\lambda b)\} = 4 \min\{\tilde{f}(a), \tilde{f}(b)\}.
\]
This means that every \( \psi_k(x) \) defined above belongs to \( V \).

Hence, noting that
\[
\left| \int_0^x \psi_n(t) \, dt \right| \leq 4 \psi_n(0),
\]
we infer that the series \( \Psi(x) \) given in (5.3) converges absolutely and uniformly for \( 0 \leq x \leq 1 \). Therefore, \( \Psi(x) \) is continuous on the interval \( [0, 1] \). Moreover, for an arbitrary fixed \( x \in (0, 1) \) and any \( \epsilon > 0 \), we can take an integer \( N = N(x, \epsilon) \) satisfying
\[
\sum_{n=N}^\infty \psi_n(x) < \epsilon.
\]

We then take a sufficiently small number \( \delta > 0 \) such that
\[
|\psi_k(\xi) - \psi_k(x)| < \frac{\epsilon}{N}
\]
for any integer \( 0 \leq k < N \) and any \( \xi \) with \( |x-\xi| < \delta \). Thus, for any \( 0 < |h| < \delta \), we obtain
\[
\left| \frac{\Psi(x+h) - \Psi(x)}{h} - \sum_{n=0}^\infty \psi_n(x) \right| = \left| \sum_{n=0}^\infty \frac{1}{h} \int_x^{x+h} \left( \psi_n(t) - \psi_n(x) \right) \, dt \right|
\leq \epsilon + 2 \sum_{n=N}^\infty \psi_n(x) < 3\epsilon,
\]
which implies that \( \Psi(x) \) is differentiable and satisfies
\[
\Psi'(x) = \sum_{n=0}^\infty \psi_n(x)
\]
for any \( x \in (0,1) \).
"
Integration,"Put \( \phi(x) = 1 / \sqrt{1 + |x|} \) and \( \alpha_{j,n} = (j - 1/2)3^{-n} \) for \( 1 \leq j \leq 3^n, n \geq 0 \).
Using the function \( \Psi \), construct an example of everywhere differentiable but nowhere monotone functions.","Finally we construct an example of everywhere differentiable but nowhere monotone functions. Let
\[
f(x) = \Psi(x) - \Psi\left(x - \frac{1}{6}\right)
\]
for \( \frac{1}{6} < x < 1 \). Since \( \alpha_{j,n} - \frac{1}{6} = \beta_{k,n} \) for any \( k = j - \frac{3^{n-1} + 1}{2} \geq 0 \), we have
\[
f'(\alpha_{j,n}) = \Phi(\alpha_{j,n}) - \Phi(\beta_{k,n}) > 0.
\]
Similarly, since \( \beta_{k,n} - \frac{1}{6} = \alpha_{j,n} \) for any \( j = k - \frac{3^{n-1} - 1}{2} \geq 1 \), we get
\[
f'(\beta_{k,n}) = \Phi(\beta_{k,n}) - \Phi(\alpha_{j,n}) < 0.
\]
Thus, \( A \) and \( B \) being dense subsets of \( [0,1] \), \( f(x) \) is nowhere monotone.
"
Integration,"Prove that
\[
\sum_{n=1}^m \frac{\sin n\theta}{n} < \int_0^\pi \frac{\sin x}{x} \, dx = 1.8519\ldots
\]
for any positive integer \( m \) and any \( \theta \) in \( [0, \pi] \). Show moreover that the constant on the right-hand side cannot be replaced by any smaller number.","As is already seen in \textbf{Solution 1.7}, the maximal values in the interval \([0, \pi]\) of the function
\[
S_m(\theta) = \sin \theta + \frac{\sin 2\theta}{2} + \cdots + \frac{\sin m\theta}{m}
\]
are attained at \([(m+1)/2]\) points: \(\pi/(m+1), 3\pi/(m+1), \ldots\). Since
\[
S'_m(\theta) = \frac{1}{2} \sin 2(m+1)\theta \cot \theta - \cos^2(2(m+1)\theta),
\]
we get
\[
S_m(\beta) - S_m(\alpha) \leq \int_{\alpha/2}^{\beta/2} \sin 2(m+1)\theta \cot \theta \, d\theta
\]
for any \(0 < \alpha < \beta < \pi\). By the substitution \(s = 2(m+1)\theta - 2\ell\pi\) with
\[
\alpha = \frac{2\ell - 1}{m+1}\pi \quad \text{and} \quad \beta = \frac{2\ell + 1}{m+1}\pi,
\]
the above integral on the right-hand side can be written as
\[
\frac{1}{2(m+1)} \int_0^\pi \sin s \left( \cot \frac{2\ell\pi + s}{2(m+1)} - \cot \frac{2\ell\pi - s}{2(m+1)} \right) ds.
\]
Since the function \(\cot s\) is strictly monotone decreasing in the interval \((0, \pi/2)\), this integral is clearly negative. This implies that the maximum of \(S_m(\theta)\) on the interval \([0, \pi]\) is attained at \(\theta = \pi/(m+1)\). Moreover, we have
\[
S_{m+1}\left(\frac{\pi}{m+2}\right) > S_{m+1}\left(\frac{\pi}{m+1}\right) = S_m\left(\frac{\pi}{m+1}\right).
\]
Therefore \(\{S_m(\pi/(m+1))\}\) is a strictly monotone increasing sequence and
\[
S_m\left(\frac{\pi}{m+1}\right) = \frac{\pi}{m+1} \sum_{n=1}^{m+1} \frac{m+1}{n\pi} \sin \frac{n\pi}{m+1}
\]
converges to the integral
\[
\int_0^\pi \frac{\sin x}{x} dx \quad \text{as } m \to \infty.
\]"
Improper Integrals,"Show that
\[
\int_0^1 x^{-x} dx = \frac{1}{1^1} + \frac{1}{2^2} + \frac{1}{3^3} + \cdots + \frac{1}{n^n} + \cdots.
\]","We have
\[
\int_0^1 x^{-x} \, dx = \int_0^1 e^{-x \log x} \, dx = \sum_{n=0}^\infty \frac{(-1)^n}{n!} \int_0^1 x^n \log^n x \, dx,
\]
where the termwise integration is allowed since the series
\[
\sum_{n=0}^\infty \frac{(-1)^n}{n!} x^n \log^n x
\]
converges uniformly on the interval \( (0, 1] \). Also, by the substitution \( x = e^{-s} \), we get
\[
\int_0^1 x^n \log^n x \, dx = (-1)^n \int_0^\infty e^{-(n+1)s} s^n \, ds = (-1)^n \frac{n!}{n^{n}},
\]
from the definition of the Gamma function.
"
Improper Integrals,"Show that
\[
\lim_{n \to \infty} \sqrt{n} \int_{-\infty}^\infty \frac{dx}{(1 + x^2)^n} = \sqrt{\pi}.
\]","We divide \( (-\infty, \infty) \) into three parts as
\[
(-\infty, -n^{-1/3}) \cup [-n^{-1/3}, n^{-1/3}] \cup (n^{-1/3}, \infty),
\]
which we denote by \( A_1, A_2, A_3 \) respectively. For \( k = 1, 2, 3 \) put
\[
I_k = \sqrt{n} \int_{A_k} \frac{dx}{(1 + x^2)^n}.
\]

By the substitution \( t = \sqrt{n} x \) we have
\[
I_2 = \sqrt{n} \int_{A_2} \exp\left(-n \log \left(1 + x^2\right)\right) dx
= \int_{-n^{1/6}}^{n^{1/6}} \exp\left(-n \log \left(1 + \frac{t^2}{n}\right)\right) dt.
\]

Since
\[
n \log \left(1 + \frac{t^2}{n}\right) = t^2 + O\left(\frac{1}{n^{1/3}}\right)
\]
uniformly in \( |t| \leq n^{1/6} \), we obtain
\[
I_2 = \left(1 + O\left(\frac{1}{n^{1/3}}\right)\right) \left(\sqrt{\pi} - \int_{-\infty}^{-n^{1/6}} e^{-t^2} dt - \int_{n^{1/6}}^{\infty} e^{-t^2} dt\right)
= \sqrt{\pi} + O\left(\frac{1}{n^{1/3}}\right)
\]
as \( n \to \infty \). On the other hand, it follows that
\[
0 < I_1 + I_3 < \frac{\sqrt{n}}{(1 + n^{-2/3})^{n-1}} \int_{-\infty}^\infty \frac{dx}{1 + x^2}
\]
and the right-hand side converges to 0 as \( n \to \infty \)."
Improper Integrals,"Show that
\[
\int_{0}^\infty \frac{e^{-x/s - 1/x}}{x} \, dx \sim \log s
\]
as \( s \to \infty \).","Let \( I(s) \) be the improper integral in the problem, which is invariant under the substitution \( t = s / x \); hence
\[
I(s) = 2 \int_{\sqrt{s}}^\infty \frac{e^{-x/s - 1/x}}{x} dx.
\]

Since \( e^{-1/x} = 1 + O(s^{-1/2}) \) uniformly in \( x \geq \sqrt{s} \) as \( s \to \infty \), we have
\[
I(s) = 2 \left( 1 + O\left(\frac{1}{\sqrt{s}}\right) \right) \int_{\sqrt{s}}^\infty \frac{e^{-x/s}}{x} dx
= 2 \left( 1 + O\left(\frac{1}{\sqrt{s}}\right) \right) \int_{s^{-1/2}}^\infty \frac{e^{-t}}{t} dt.
\]

Integrating the last integral by parts, we get
\[
\int_{s^{-1/2}}^\infty \frac{e^{-t}}{t} dt = \left[ e^{-t} \log t \right]_{t = s^{-1/2}}^{t = \infty} + \int_{s^{-1/2}}^\infty e^{-t} \log t \, dt
= \frac{1}{2} \log s + O(1),
\]
hence \( I(s) = \log s + O(1) \) as \( s \to \infty \).
"
Improper Integrals,"Suppose that \( g \in C[0, \infty) \) is monotone decreasing and that
\[
\int_{0}^\infty g(x) \, dx
\]
converges. (Note that \( g(x) \geq 0 \) for any \( x \geq 0 \).) Show then that
\[
\lim_{h \to 0^+} h \sum_{n=1}^\infty f(nh) = \int_{0}^\infty f(x) \, dx
\]
for any \( f \in C[0, \infty) \) satisfying \( |f(x)| \leq g(x) \) for all \( x \geq 0 \).","For any \( \epsilon > 0 \) there exists a sufficiently large number \( L > 1 \) satisfying
\[
\int_{L-1}^\infty g(x) \, dx < \epsilon.
\]
For any \( h \) in the interval \( (0, 1) \), take a positive integer \( N \) satisfying
\[
Nh \leq L < (N+1)h.
\]
Then
\[
nh \in \left( \frac{Ln}{N+1}, \frac{Ln}{N} \right) \subset \left( \frac{L(n-1)}{N}, \frac{Ln}{N} \right)
\]
for any integer \( 1 \leq n \leq N \). Thus the Riemann sum
\[
\frac{L}{N} \sum_{n=1}^N f(nh)
\]
converges to the integral
\[
\int_0^L f(x) \, dx \quad \text{as } N \to \infty.
\]
Since \( N \to \infty \) as \( h \to 0^+ \), there exists a sufficiently small \( h_0 > 0 \) such that
\[
\left| \frac{L}{N} \sum_{n=1}^N f(nh) - \int_0^L f(x) \, dx \right| < \epsilon \tag{6.1}
\]
and
\[
\frac{1}{N} \int_0^\infty g(x) \, dx < \epsilon
\]
for any \( 0 < h < h_0 \). On the other hand, we have
\[
\left| \left( \frac{L}{N} - h \right) \sum_{n=1}^N f(nh) \right| \leq \left( \frac{L}{N} - h \right) \sum_{n=1}^N g(nh) \leq \frac{h}{N} \sum_{n=1}^N g(nh).
\]
By the monotonicity of \( g(x) \), the right-hand side is less than or equal to
\[
\frac{1}{N} \int_0^L g(x) \, dx,
\]
which is clearly less than \( \epsilon \), whence
\[
\left| \left( \frac{L}{N} - h \right) \sum_{n=1}^N f(nh) \right| < \epsilon. \tag{6.2}
\]

Moreover
\[
h \left| \sum_{n > N} f(nh) \right| \leq h \sum_{n > N} g(nh) \leq \int_{L-1}^\infty g(x) \, dx < \epsilon; \tag{6.3}
\]
therefore, by (6.1), (6.2), and (6.3),
\[
\left| h \sum_{n=1}^\infty f(nh) - \int_0^\infty f(x) \, dx \right| < 3\epsilon + \int_L^\infty |f(x)| \, dx < 4\epsilon.
\]
Since \( \epsilon \) is arbitrary, this completes the proof.
"
Improper Integrals,"For \( s > 0 \), compute
\[
\int_{0}^\infty e^{-(x-s/x)^2} \, dx.
\]","Let \( f(s) \) be the integral in the problem. It is easily seen that
\[
e^{-4s} f(s) = \int_0^\infty \exp\left(-\left(x + \frac{s}{x}\right)^2\right) dx.
\]
Differentiating both sides, we get
\[
\left(f'(s) - 4f(s)\right)e^{-4s} = -2 \int_0^\infty \left(1 + \frac{s}{x^2}\right) \exp\left(-\left(x + \frac{s}{x}\right)^2\right) dx,
\]
where the differentiation under the integral sign is allowed (see the introduction of Chapter 11). Then, by the substitution \( t = x - s/x \), we have
\[
f'(s) - 4f(s) = -2 \int_0^\infty \left(1 + \frac{s}{x^2}\right) \exp\left(-\left(x + \frac{s}{x}\right)^2\right) dx
= -2 \int_{-\infty}^\infty e^{-t^2} dt = -2 \sqrt{\pi}.
\]

Solving this linear differential equation, we get
\[
f(s) = c e^{4s} + \frac{\sqrt{\pi}}{2}
\]
for some constant \( c \). Since \( 0 < f(s) < (\sqrt{\pi}/2)e^{2s} \), we have \( c = 0 \); hence
\[
f(s) = \frac{\sqrt{\pi}}{2}.
\]"
Improper Integrals,"Suppose that \( f \in C(\mathbb{R}) \) and that \( \int_{-\infty}^\infty |f(x)| \, dx \) converges. Show then that
\[
\lim_{n \to \infty} \int_{-\infty}^\infty f(x) |\sin nx| \, dx = \frac{2}{\pi} \int_{-\infty}^\infty f(x) \, dx.
\]","For any \( \epsilon > 0 \), we can take a sufficiently large number \( L \) satisfying
\[
\int_{-\infty}^{-L\pi} |f(x)| dx + \int_{L\pi}^\infty |f(x)| dx < \epsilon. \tag{6.4}
\]
On the other hand,
\[
\int_{-L\pi}^{L\pi} |f(x)| \sin nx| dx = \pi \int_{-L}^L f(\pi t) |\sin n\pi t| dt
= \pi \sum_{k=-L}^{L-1} \int_0^1 f(\pi s + k\pi) |\sin n\pi s| ds.
\]
Applying the result in \textbf{Problem 5.1}, the right-hand side converges to
\[
\pi \sum_{k=-L}^{L-1} \int_0^1 f(\pi s + k\pi) ds \int_0^1 \sin n\pi s ds
\]
as \( n \to \infty \), which is
\[
\frac{2}{\pi} \int_{-L\pi}^{L\pi} f(t) dt.
\]
Whence
\[
\int_{-L\pi}^{L\pi} f(x)|\sin nx| dx \to \frac{2}{\pi} \int_{-L\pi}^{L\pi} f(t) dt \quad (n \to \infty). \tag{6.5}
\]
Therefore, by (6.4) and (6.5), we have
\[
\limsup_{n \to \infty} \left| \int_{-\infty}^\infty f(x)|\sin nx| dx - \frac{2}{\pi} \int_{-\infty}^\infty f(t) dt \right| \leq 2\epsilon.
\]
Since \( \epsilon \) is arbitrary, this completes the proof."
Improper Integrals,"Show that
\[
\frac{7}{12} - \gamma = \int_{0}^\infty \frac{\{x\}^2 (1 - \{x\})^2}{(1 + x)^5} \, dx,
\]
where \( \gamma \) is Euler's constant and \( \{x\} \) denotes the fractional part of \( x \).","Let \( I \) be the integral on the right-hand side of the problem. We have
\[
I = \sum_{k=1}^\infty \int_{k-1}^k \frac{\{x\}^2 (1 - \{x\})^2}{(1+x)^5} dx
= \int_0^1 t^2 (1-t)^2 H_5(t) dt,
\]
where for any integer \( m > 1 \) we write
\[
H_m(x) = \sum_{k=1}^\infty \frac{1}{(x+k)^m}.
\]
Then, by integration by parts, we get
\[
I = \int_0^1 t (1-t) \left( \frac{1}{2} - t \right) H_4(t) dt
= \int_0^1 \left( \frac{1}{6} - t (1-t) \right) H_3(t) dt.
\]
Since
\[
\int_0^1 H_3(t) dt = -\frac{1}{2} \left( H_2(1) - H_2(0) \right) = \frac{1}{2},
\]
it follows that
\[
I = \frac{1}{12} + \int_0^1 \left( t - \frac{1}{2} \right) H_2(t) dt;
\]
therefore
\[
I = \frac{1}{12} + \lim_{n \to \infty} \sum_{k=1}^n \int_0^1 \frac{t - 1/2}{(t+k)^2} dt
= \frac{1}{12} - \lim_{n \to \infty} \sum_{k=1}^n \left( \frac{1}{2k} + \frac{1}{2(k+1)} - \log \frac{k+1}{k} \right),
\]
which is equal to \( 7/12 - \gamma \) from the definition of Euler’s constant."
